Radius	predicate	time	# Vertices
249	-0.00401606	960	616
250	-0.004	1031	628
251	-0.00398406	853	632
252	-0.00396825	956	624
253	-0.00395257	1031	636
254	-0.00393701	988	628
255	-0.00392157	1007	648
256	-0.00390625	1112	632
257	-0.00389105	924	644
258	-0.00387597	855	656
259	-0.003861	1081	640
260	-0.00384615	1080	660
261	-0.00383142	1035	644
262	-0.00381679	921	656
263	-0.00380228	1057	660
264	-0.00378788	1027	652
265	-0.00377358	973	672
266	-0.0037594	1116	656
267	-0.00374532	1033	668
268	-0.00373134	1205	660
269	-0.00371747	1020	672
270	-0.0037037	928	692
271	-0.00369004	1026	676
272	-0.00367647	1064	680
273	-0.003663	1144	672
274	-0.00364964	928	684
275	-0.00363636	877	704
276	-0.00362319	1135	680
277	-0.00361011	977	692
278	-0.00359712	1226	684
279	-0.00358423	986	704
280	-0.00357143	1110	716
281	-0.00355872	1128	700
282	-0.0035461	950	712
283	-0.00353357	1042	704
284	-0.00352113	1183	708
285	-0.00350877	1336	708
286	-0.0034965	1185	712
287	-0.00348432	952	724
288	-0.00347222	1036	716
289	-0.00346021	1059	720
290	-0.00344828	1107	728
291	-0.00343643	998	732
292	-0.00342466	926	744
293	-0.00341297	1261	728
294	-0.00340136	1177	740
295	-0.00338983	1170	740
296	-0.00337838	1146	744
297	-0.003367	1314	728
298	-0.0033557	1146	740
299	-0.00334448	1094	752
300	-0.00333333	1030	752
301	-0.00332226	1245	748
302	-0.00331126	1309	740
303	-0.00330033	1222	760
304	-0.00328947	1177	772
305	-0.00327869	1194	764
306	-0.00326797	1130	768
307	-0.00325733	1170	760
308	-0.00324675	1037	772
309	-0.00323625	1219	784
310	-0.00322581	1311	776
311	-0.00321543	1169	780
312	-0.00320513	1102	772
313	-0.00319489	1000	784
314	-0.00318471	1380	768
315	-0.0031746	1286	796
316	-0.00316456	1137	800
317	-0.00315457	1169	792
318	-0.00314465	1324	796
319	-0.0031348	1257	788
320	-0.003125	1140	808
321	-0.00311526	1188	812
322	-0.00310559	1359	796
323	-0.00309598	1152	808
324	-0.00308642	1310	800
325	-0.00307692	1103	820
326	-0.00306748	1264	804
327	-0.0030581	1503	808
328	-0.00304878	1229	828
329	-0.00303951	1313	820
330	-0.0030303	1087	840
331	-0.00302115	1405	816
332	-0.00301205	1325	828
333	-0.003003	1191	840
334	-0.00299401	1379	832
335	-0.00298507	1368	844
336	-0.00297619	1448	828
337	-0.00296736	1346	840
338	-0.00295858	1148	832
339	-0.00294985	1491	844
340	-0.00294118	1163	864
341	-0.00293255	1322	848
342	-0.00292398	1346	860
343	-0.00291545	1310	852
344	-0.00290698	1383	856
345	-0.00289855	1216	876
346	-0.00289017	1351	860
347	-0.00288184	1266	872
348	-0.00287356	1299	856
349	-0.00286533	1316	868
350	-0.00285714	1205	888
351	-0.002849	1287	880
352	-0.00284091	1524	884
353	-0.00283286	1408	876
354	-0.00282486	1360	888
355	-0.0028169	1388	888
356	-0.00280899	1341	884
357	-0.00280112	1302	896
358	-0.0027933	1479	888
359	-0.00278552	1392	900
360	-0.00277778	1368	900
361	-0.00277008	1399	896
362	-0.00276243	1310	908
363	-0.00275482	1155	876
364	-0.00274725	1358	888
365	-0.00273973	1479	872
366	-0.00273224	1363	876
367	-0.0027248	1535	876
368	-0.00271739	1227	888
369	-0.00271003	1329	892
370	-0.0027027	1462	884
371	-0.00269542	1247	888
372	-0.00268817	1434	888
373	-0.00268097	1305	884
374	-0.0026738	1324	904
375	-0.00266667	1461	912
376	-0.00265957	1339	908
377	-0.00265252	1350	908
378	-0.0026455	1448	904
379	-0.00263852	1238	916
380	-0.00263158	1413	924
381	-0.00262467	1141	928
382	-0.0026178	1573	912
383	-0.00261097	1414	916
384	-0.00260417	1493	908
385	-0.0025974	1457	936
386	-0.00259067	1382	924
387	-0.00258398	1537	932
388	-0.00257732	1178	944
389	-0.00257069	1424	928
390	-0.0025641	1662	940
391	-0.00255754	1374	944
392	-0.00255102	1419	936
393	-0.00254453	1287	956
394	-0.00253807	1576	932
395	-0.00253165	1591	952
396	-0.00252525	1595	936
397	-0.00251889	1325	948
398	-0.00251256	1360	968
399	-0.00250627	1543	944
400	-0.0025	1501	980
401	-0.00249377	1590	956
402	-0.00248756	1358	968
403	-0.00248139	1596	972
404	-0.00247525	1533	964
405	-0.00246914	1397	984
406	-0.00246305	1278	976
407	-0.002457	1653	964
408	-0.00245098	1592	984
409	-0.00244499	1478	976
410	-0.00243902	1313	996
411	-0.00243309	1646	972
412	-0.00242718	1430	992
413	-0.00242131	1775	984
414	-0.00241546	1471	996
415	-0.00240964	1495	1016
416	-0.00240385	1656	992
417	-0.00239808	1514	1004
418	-0.00239234	1599	996
419	-0.00238663	1434	1016
420	-0.00238095	1589	1012
421	-0.0023753	1500	1004
422	-0.00236967	1386	1016
423	-0.00236407	1554	1008
424	-0.00235849	1625	1020
425	-0.00235294	1439	1020
426	-0.00234742	1708	1024
427	-0.00234192	1522	1036
428	-0.00233645	1804	1012
429	-0.002331	1545	1032
430	-0.00232558	1684	1032
431	-0.00232019	1532	1036
432	-0.00231481	1616	1048
433	-0.00230947	1798	1024
434	-0.00230415	1584	1044
435	-0.00229885	1605	1052
436	-0.00229358	1571	1056
437	-0.00228833	1903	1040
438	-0.00228311	1778	1044
439	-0.0022779	1657	1064
440	-0.00227273	1737	1064
441	-0.00226757	1827	1052
442	-0.00226244	1687	1052
443	-0.00225734	1676	1064
444	-0.00225225	1536	1068
445	-0.00224719	1739	1060
446	-0.00224215	1780	1064
447	-0.00223714	1793	1064
448	-0.00223214	1740	1084
449	-0.00222717	1457	1096
450	-0.00222222	1973	1080
451	-0.00221729	1745	1084
452	-0.00221239	1689	1084
453	-0.00220751	1606	1096
454	-0.00220264	1787	1072
455	-0.0021978	1792	1100
456	-0.00219298	1719	1104
457	-0.00218818	1758	1096
458	-0.00218341	1869	1092
459	-0.00217865	1716	1084
460	-0.00217391	1768	1120
461	-0.0021692	1592	1124
462	-0.0021645	1709	1100
463	-0.00215983	1793	1064
464	-0.00215517	1589	1056
465	-0.00215054	1734	1092
466	-0.00214592	2027	1060
467	-0.00214133	1650	1072
468	-0.00213675	1698	1092
